,Income,LotSize,Ownership ,mowerid,DEA,weight0,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,weight10,weight11
0,60.0,18.4,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,85.5,16.8,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,64.8,21.6,1,2,0.8922558922558922,0.7575757575757569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24242424242424312,0.0
3,61.5,20.8,1,3,0.9339207048458151,0.7151248164464024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2848751835535977,0.0
4,87.0,23.6,1,4,0.7627530364372469,0.7506072874493931,0.24939271255060694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,110.1,19.2,1,5,0.8750000000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,108.0,17.6,1,6,0.9545454545454545,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,82.8,22.4,1,7,0.8032060027285131,0.7448840381991813,0.2551159618008187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,69.0,20.0,1,8,0.9110251450676983,0.8878143133462283,0.1121856866537717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,93.0,20.8,1,9,0.832155477031802,0.3180212014134278,0.6819787985865722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,51.0,22.0,1,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,81.0,20.0,1,11,0.8836772983114448,0.545966228893058,0.45403377110694193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
